             count          mean           std          min           p05           p25           p50           p75           p95            max
leads      10000.0    315.615491     51.042369   200.539323    235.532708    278.474338    312.050093    351.259123    405.600026     446.746194
conv_rate  10000.0      0.180494      0.039991     0.023104      0.115464      0.153664      0.180672      0.207295      0.246066       0.359163
avg_deal   10000.0   1065.247005    123.534713   802.846000    879.575098    972.425418   1052.509443   1150.748226   1290.527775    1391.981286
customers  10000.0     56.947163     15.662225     6.260512     33.327021     45.876077     55.847338     66.920224     84.764746     125.446913
revenue    10000.0  60709.862973  18389.513323  8012.623115  34148.405069  47645.619089  58962.249192  71870.540365  93995.659301  146271.945600
margin     10000.0  40778.002203  17175.065468 -7619.504556  16079.829693  28435.327164  39087.953992  51033.190460  71818.960961  119137.659548
